# Parameters:,Wind direction:,16°,Mach:,0.300 ​,Roll rate:,0 °/s,Active stages:,Sustainer,Flight configuration:,[266H125-12A-12]
# 45 data points written for 3 variables.
# Angle of attack,CP (Yeetling 404) (cm),Total CD (Yeetling 404) (​),Total Cl (Freeform Fin Set) (​)
0,91.624,0.505,0
0.017,90.603,0.505,0
0.035,89.652,0.505,0
0.052,88.766,0.505,0
0.07,87.938,0.505,0
0.087,87.164,0.505,0
0.105,86.44,0.505,0
0.122,85.76,0.505,0
0.14,85.122,0.505,0
0.157,84.521,0.505,0
0.175,83.957,0.505,0
0.192,83.424,0.505,0
0.209,82.923,0.505,0
0.227,82.449,0.505,0
0.244,82.002,0.505,0
0.262,81.579,0.505,0
0.279,81.179,0.505,0
0.297,80.801,0.505,0
0.314,80.443,0.505,0
0.332,80.103,0.505,0
0.349,79.782,0.505,0
0.367,79.477,0.505,0
0.384,79.188,0.505,0
0.401,78.913,0.505,0
0.419,78.653,0.505,0
0.436,78.406,0.505,0
0.454,78.172,0.505,0
0.471,77.95,0.505,0
0.489,77.739,0.505,0
0.506,77.54,0.505,0
0.524,77.35,0.505,0
0.541,77.171,0.505,0
0.559,77,0.505,0
0.576,76.839,0.505,0
0.593,76.687,0.505,0
0.611,76.543,0.505,0
0.628,76.407,0.505,0
0.646,76.278,0.505,0
0.663,76.157,0.505,0
0.681,76.043,0.505,0
0.698,75.936,0.505,0
0.716,75.835,0.505,0
0.733,75.741,0.505,0
0.75,75.654,0.505,0
0.768,75.572,0.505,0
